id,text,time_stamp,likes,dislikes,retweet
4001,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1/10/2022,444932,998969,False
4002,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,12/9/2014,503730,200057,True
4003,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,4/25/2012,171505,30517,False
4004,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,3/24/2012,982857,3361,False
4005,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",7/22/2000,386124,93326,True
4006,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5/2/2000,592613,93665,True
4007,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",4/19/2003,185682,125128,False
4008,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,12/20/2022,493160,826739,False
4009,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1/17/2006,170000,316583,False
4010,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",4/14/2012,170232,937458,False
4011,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",3/8/2002,473146,13596,True
4012,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",6/27/2020,646079,370023,False
4013,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,9/21/2000,347046,549884,False
4014,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,5/14/2010,55202,129561,True
4015,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,4/16/2013,983300,897135,True
4016,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",8/1/2007,784946,601457,True
4017,Phasellus in felis. Donec semper sapien a libero. Nam dui.,8/14/2015,668712,218631,False
4018,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,9/27/2022,266326,272307,True
4019,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",10/19/2011,170690,858921,True
4020,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",12/13/2023,383403,498051,False
4021,Fusce consequat. Nulla nisl. Nunc nisl.,2/17/2007,451357,416920,False
4022,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,9/28/2001,958302,553623,False
